YEAR,ID,TYPE,ARCHITECTURE,TECHNOLOGY,TITLE,ABSTRACT,AUTHORS,COMMENTS,Csamp [pF],AREA [mm^2],SNDR_lf [dB],fin_hf,SNDR_hf [dB],SNR [dB],DR [dB],-THD [dB],SFDR [dB],SNDR,P [W],fs [Hz],OSR,fsnyq_w,fsnyq,FOMW_lf [fJ/conv-step],FOMW_hf,FOMS_lf [dB],FOMS_hf [dB],FOMW_hf/fsnyq,"FOMS,hf+10log(fsnyq)"
2008,2.3,NQ,Flash,0.065,A 6-bit 5-GSample/s Nyquist A/D Converter in 65nm CMOS,"A 6-bit Nyquist A/D converter (ADC) that converts at 5 GHz is reported. Using a wideband track-and-hold amplifier, array averaging, reset switches on analog signal paths, and phase-adjusted clocking for cascaded comparators, a 6-bit flash ADC achieves better than 5 effective bits for input frequencies up to 2.5 GHz at 5 GSample/s. This ADC does not rely on time interleaving, digital calibration, and post data processing for its dynamic performance. This ADC consumes about 320mW from 1.3 V at 5 GSample/s. The chip occupies 0.3mm2 active area, fabricated in 65nm CMOS","M. Choi, J. Lee, J. Lee, H. Son", , ,0.3,,2.50E+09,32,,,,,32,3.20E-01,5.00E+09,1,5.00E+09,6.40E+01,,1968,,130.9,3.94E-07,227.92
2008,2.4,NQ,"Pipe, TI",0.09,A 10.3GS/s 6bit (5.1 ENOB at Nyquist) Time-Interleaved/Pipelined ADC Using Open-Loop Amplifiers and Digital Calibration in 90nm CMOS,A 10.3GS/s ADC with 5GHz input BW and 6 bit resolution in 90nm CMOS is presented. The architecture is based on an 8 way interleaved/ pipelined ADC using open-loop amplifiers and digital calibration. The measured performance is 5.8 ENOB (36.6dB SNDR) for a 100MHz input signal and 5.1 ENOB (32.4dB SNDR) for a 5GHz input (Nyquist) with phase offset correction across the interleaved array,"A. Nazemi, C. Grace, L. Lewyn, B. Kobeissy, O. Agazzi, P. Voois, C. Abidin, G. Eaton, M. Kargar, C. Marquez, S. Ramprasad, F. Bollo*, V. Posse, S. Wang, G. Asmanis", , ,,,5.15E+09,32.4,,,,,32.4,1.6,1.03E+10,1,1.03E+10,1.55E+02,,4561.7,,127.5,4.43E-07,227.61
2008,18.2,OS,SDSC,0.18,A 0.7-V 100-dB 870-?W Digital Audio ? ? Modulator,"A high-precision, low-voltage, low-power ?? modulator has been designed using a delayed input feedforward architecture and a tracking multi-bit quantizer employing a single comparator. A 0.18-?m CMOS experimental prototype achieves 100 dB of dynamic range, 100-dB peak SNR and 95-dB peak SNDR for a signal bandwidth of 25 kHz, while consuming only 870 ?W of total power from a 0.7-V supply at a 5-MHz sampling rate","H. Park, K. Nam, D. Su, K. Vleugels, B. Wooley", , ,2.16,,2.50E+04,95,100,100,,,95,8.70E-04,5.00E+06,100,5.00E+04,1.74E+04,,378.5,,169.6,7.57E-03,216.57
2008,18.3,OS,SDCT,0.065,A 2.1mW/3.2mW Delay-Compensated GSM/WCDMA ? ? Analog-Digital Converter,A technique to compensate for the harmful excess loop delay in a continuous time ?? analog-digital converter is presented. With no extra power consumption or area penalty the technique is suitable for variety of applications employing continuous time ?? analog-digital converters. This work presents a dual mode ?? ADC for GSM/WCDMA applications with DR of 86dB/63dB for 100KHz/1.92MHz in a 65nm CMOS technology with power consumption of 2.1mW/3.2mW,"M. Vadipour, C. Chen, A. Yazdi, M. Nariman, T. Li, P. Kilcoyne, H. Darabi", , ,0.18,,1.00E+05,,84,86,,,84,2.10E-03,2.60E+07,130,2.00E+05,1.05E+04,,810.5,,160.8,4.05E-03,213.79
2008,18.3,OS,SDCT,0.065,A 2.1mW/3.2mW Delay-Compensated GSM/WCDMA ? ? Analog-Digital Converter,A technique to compensate for the harmful excess loop delay in a continuous time ?? analog-digital converter is presented. With no extra power consumption or area penalty the technique is suitable for variety of applications employing continuous time ?? analog-digital converters. This work presents a dual mode ?? ADC for GSM/WCDMA applications with DR of 86dB/63dB for 100KHz/1.92MHz in a 65nm CMOS technology with power consumption of 2.1mW/3.2mW,"M. Vadipour, C. Chen, A. Yazdi, M. Nariman, T. Li, P. Kilcoyne, H. Darabi", , ,0.18,,1.92E+06,,61,63,,,61,3.20E-03,6.24E+07,16,3.84E+06,8.33E+02,,908.9,,148.8,2.37E-04,214.62
2008,18.4,OS,Ext. Counting,0.18,A 14b 23MS/s 48mW Resetting ? ? ADC with 87dB SFDR 11.7b ENOB & 0.5mm2 Area,"A 14b 23MS/s ADC that pipelines a 2nd order resetting SD modulator with a 10b cyclic ADC and requires no front-end S/H is presented. The architecture uses a resetting ?? modulator at the front-end for accuracy and a cyclic ADC at the back-end for residual error quantization. This calibration-free ADC achieves no missing codes, 87dB SFDR and 11.7b ENOB. Fabricated in 0.18?m CMOS with a core area of 0.5mm2, it consumes 48mW from a 2V supply","C. Lee, M. Flynn",Data at fin=10MHz, ,0.5,,1.15E+07,68,68,,,81,68,4.80E-02,1.15E+08,5,2.30E+07,2.09E+03,,1016.7,,151.8,4.42E-05,225.41
2008,22.1,NQ,Pipe,0.09,"A 9.4-bit, 50-MS/s, 1.44-mW Pipelined ADC Using Dynamic Residue Amplification",An ultra-low power pipelined ADC is realized by replacing conventional op-amp circuits with dynamic source-follower gain stages. The presented 90-nm CMOS converter operates at 50MS/s and achieves an SNDR of 49.4dB while dissipating 1.44mW from a 1.2-V supply,"J. Hu, N. Dolev, B. Murmann", ,0.09,0.123,,2.50E+07,47.7,,,,,47.7,1.44E-03,5.00E+07,1,5.00E+07,2.88E+01,,145.3,,150.1,2.91E-06,227.09
2008,22.2,NQ,"Pipe, ZCBC",0.065,A Fully-Differential Zero-Crossing-Based 1.2V 10b 26MS/s Pipelined ADC in 65nm CMOS,A fully-differential zero-crossing-based 10b 26MS/s pipelined ADC in a 65 nm CMOS process is presented. Switched-capacitor overshoot correction is compatible with the differential topology and allows faster operation. A CMFB is engaged in the coarse phase for constant common-mode. The 0.33mm2 ADC achieves 54.3dB SNDR with a FOM of 161fJ/step,"S.-K. Shin, Y.-S. You, S.-H. Lee, K.-H. Moon, J.-W. Kim, L. Brooks*, H.-S. Lee", , ,0.33,,1.30E+07,54.3,,,,,54.3,5.51E-03,2.60E+07,1,2.60E+07,2.12E+02,,499.9,,148,1.92E-05,222.18
2008,22.3,NQ,Pipe,0.18,A 12b 50MS/s 10.2mA 0.18?m CMOS Nyquist ADC with a Fully Differential Class-AB Switched OP-AMP,A 12b 50MS/s pipelined ADC based on a fully differential class-AB switched op-amp achieves low power consumption with a high differential input range of 2.4Vp-p. The proposed input sampling network samples wideband signals exceeding the Nyquist frequency without a SHA. The prototype ADC in a 0.18?m CMOS shows a power dissipation of 18.4mW at 50MS/s and 1.8V with an active die area of 0.26mm2,"H.-C. Choi, Y.-J. Kim, M.-H. Lee, Y.-L. Kim, S.-H. Lee","A different use of the term ""switched-opamp""", ,0.26,,2.50E+07,64,,,,76.6,64,0.01836,5.00E+07,1,5.00E+07,3.67E+02,,283.5,,155.3,5.67E-06,232.33
2008,22.4,NQ,Pipe,0.18,A Process-Scalable Low-Power Charge-Domain 13-bit Pipeline ADC,"A 13-bit ADC is implemented using a novel charge-domain architecture. Enhanced bucket-brigade circuitry and a tapered charge pipeline provide precision charge-domain operation in a standard CMOS process, while eliminating the need for signal-path op-amps. The prototype ADC, implemented in 0.18?m CMOS, provides 10.65 ENOB at 250 MS/s while consuming only 140 mW, yielding an exceptionally low FoM of 0.28 pJ/conversion-step. Simulations indicate that the architecture and circuitry are well suited to scaling below 90nm.","M. Anthony, E. Kohler, J. Kurtze, L. Kushner, G. Sollner, Kenet Inc.", , ,0.89,,1.25E+08,65.9,,,,77,65.9,1.40E-01,2.50E+08,1,2.50E+08,5.60E+02,,347.4,,155.4,1.39E-06,239.39
2009,7.1,OS,SDCT,0.11,A 5th-Order Delta-Sigma Modulator with Single-Opamp Resonator,"A new circuit configuration realizing 2nd-order resonator with one operational amplifier is applied to a 5th-order deltasigma (????) modulator. The proposed resonator enables us to any kinds of 2nd-order transfer function, which means that the resonator can realize a single feedback modulator with feed forward compensation[1,2]. Collaborating with other two improved features of a kickback relaxation filter and a simple resistor adder, we fabricated the highly efficient 5th-order ???? modulator with only three opamps, whose FOM was 0.24 pJ/conv.","Kazuo Matsukawa, Yosuke Mitani, Masao Takayama, Koji Obata, Shiro Dosho and Akira Matsuzawa", , ,0.32,,1.00E+07,62.5,68.2,70.2,,,62.5,5.32E-03,3.00E+08,15,2.00E+07,2.66E+02,,244.1,,155.2,1.22E-05,228.25
2009,7.2,OS,SDCT,0.09,A 500kHz-10MHz Multimode Power-Performance Scalable 83-to-67dB DR CT?? in 90 nm Digital CMOS with Flexible Analog Core Circuitry ,"A fully flexible continuous-time (CT) ?? with programmable bandwidth, resolution and power consumption in 1.2V 90 nm CMOS is presented. By introducing flexibility into the core building blocks, a DR of 67/72/78/83dB is achieved in maximum performance mode for WLAN, DVB, UMTS and BT for a power consumption of 6.8/5.5/6.4/5.0mW respectively. GSM operation is also feasible with a DR of 87dB. For a given bandwidth, the flexibility allows to obtain the lowest power consumption for a desired performance.","Pieter Crombez, Geert Van der Plas, Michiel Steyaert and Jan Craninckx", , ,0.4,,1.00E+07,65,,67,,72,65,6.80E-03,6.40E+08,32,2.00E+07,3.40E+02,,234,,156.7,1.17E-05,229.69
2009,7.3,OS,SDSC,0.045,"Technology portable, 0.04mm2, Ghz-rate SD modulators in 65nm and 45nm CMOS","An area reducing design methodology is used to design three 0.04mm2, 5th order, 1-bit, ???? modulators. A 1.2V/65nm chip contains a feedback (FB) modulator sampled at 1GHz, and a 1.1V/45nm chip contains a FB and feed-forward (FF) modulator sampled at 1.5Ghz. Each modulator achieves an SNR of 60dB in 15MHz. Furthermore a method is presented, which perfectly compensates for excess phase in a ??????loop, without compromising loop stability and noise shaping.","Robert H.M. van Veldhoven, Nicolo Nizza, Lucien J. Breems", , ,0.04,,1.50E+07,56.3,59.6,,,56.3,56.3,9.00E-03,1.50E+09,50,3.00E+07,3.00E+02,,562.1,,148.5,1.87E-05,223.29
2009,7.4,OS,"SDSC, Pipe",0.18,A 79dB 80MHz 8X-OSR Hybrid Delta-Sigma/Pipeline ADC,"A new delta-sigma modulator architecture is presented. The proposed implementation employs a pipeline ADC as the quantizer of a single-loop delta-sigma modulator and makes use of inherent delays of pipeline ADC stages to enhance overall noise shaping properties. With a 5MHz bandwidth and 80MHz clock, the measured dynamic range and SNDR of this prototype IC are 79dB and 75.4dB. The prototype chip is implemented in a 0.18um CMOS process.","O. Rajaee, T. Musah, S. Takeuchi, M. Aniya, K. Hamashita, P. Hanumolu, and U. Moon", , ,3.75,,5.00E+06,75.4,76,,,85,75.4,3.60E-02,8.00E+07,8,1.00E+07,3.60E+03,,748.1,,156.8,7.48E-05,226.83
2009,23.1,NQ,SAR,0.13,A 0.92mW 10-bit 50-MS/s SAR ADC in 0.13?m CMOS Process,"This paper reports a 10-bit 50MS/s SAR ADC with a set-and-down capacitor switching method. Compared to the conventional method, the average switching energy is reduced about 81%. At 50MS/s and 1.2V supply, the ADC consumes 0.92mW and achieves an SNDR of 52.78dB, resulting in an FOM of 52fJ/Conversion-step. Fabricated in a 0.13?m 1P8M CMOS technology, the ADC only occupies 0.075mm2 active area.","Chun-Cheng Liu, Soon-Jyh Chang, Guan-Ying Huang, Yin-Zu Lin", , ,0.075,,5.00E+07,52,,,,62.5,52,9.20E-04,5.00E+07,1,1.00E+08,9.20E+00,,28.3,,159.4,2.83E-07,239.35
2009,23.2,NQ,SAR,0.09,A 6-bit 50-MS/s Threshold Configuring SAR ADC in 90-nm Digital CMOS,"A threshold configuring SAR A/D converter is presented that programs its comparator threshold at runtime to approximate the input signal via binary search. Low power and small area are achieved via a fully dynamic configurable comparator and an asynchronous controller with no need for capacitor-based feedback D/A converter. A 6-bit prototype in 90-nm digital CMOS technology achieves 32-dB SNDR at 50 MS/s consuming 240 uW from 1-V analog and 0.7-V digital supplies, i.e. 150fJ/conversion-step, in a core area occupation of only 0.0055 mm2, a 4× improvement on state-of-the-art designs.","Pierluigi Nuzzo, Claudio Nani, Costantino Armiento, Alberto Sangiovanni-Vincentelli, Jan Craninckx and Geert Van der Plas", , ,0.0055,,1.60E+07,32,,,,,32,2.40E-04,5.00E+07,1,5.00E+07,4.80E+00,,147.6,,142.2,2.95E-06,219.17
2009,23.3,NQ,SAR,0.13,A 12b 11MS/s Successive Approximation ADC with two comparators in 0.13?m CMOS,"A two-comparator architecture, incorporating deliberate comparator offset and pre-amplifier power management, reduces comparator meta-stability and comparator power consumption in a 12b 11MS/s SAR ADC. A prototype, fabricated in 0.13um CMOS achieves an FOM, SNDR, SFDR and error rate of 311fJ/conversion step, 62.4dB and 72.8dB and <1.9×10-12, respectively, at 11MS/s.",Joshua J. Kang and Michael P. Flynn, , ,0.7,,5.50E+06,63,,,,70,63,3.57E-03,1.10E+07,1,1.10E+07,3.25E+02,,281.2,,154.9,2.56E-05,225.29
2009,23.4,NQ,SAR,0.18,A 1.3uW 0.6V 8.7-ENOB Successive Approximation ADC in a 0.18um CMOS,"A 100KS/s, 1.3??W, 8.7-ENOB successive approximation ADC is proposed with a time-domain comparator which uses a highly digital differential VCDL architecture. Without any reference voltage, the capacitor DAC performs a  rail-to-rail conversion range. The ADC, implemented in a standard 0.18??m CMOS, shows a FoM of 31fJ/conversion-step with a single supply voltage of 0.6V.","Seon-Kyoo Lee, Seung-Jin Park, Yunjae Suh, Hong-June Park, and Jae-Yoon Sim", , ,0.125,,5.00E+04,53.8,,,,62,53.8,1.30E-06,1.00E+05,1,1.00E+05,1.30E+01,,32.5,,159.7,3.25E-04,209.65
2009,26.1,NQ,Folding,0.09,A self-background calibrated 6b 2.7GS/s ADC with cascade-calibrated folding-interpolating architecture,"We have developed a 6b 2.7GS/s Folding ADC with on-chip self-background calibration in 90nm CMOS. This is the first report of a successful background-calibrated ADC with a sampling rate of multi GHz. The algorithm enabled us to realize a system robust against environmental and process variation. To minimize the power consumption, a cascaded-calibration architecture was developed. The ADC dissipates 50mW at 2.7GS/s from a 1.0V supply. The figure of merit is 0.47pJ/conversion-step, which is the best reported value for multi-GHz ADCs with a resolution of 6bit or more.","Nakajima, Yuji ; Sakaguchi, Akemi ; Ohkido, Toshio ; Matsumoto, Tetsuya ; Yotsuyanagi, Michio ; ", , ,0.075,,1.35E+09,33.6,,,,,33.6,5.00E-02,2.70E+09,1,2.70E+09,1.85E+01,,473.6,,137.9,1.75E-07,232.23
2009,26.2,NQ,Flash,0.065,A 7.5-GS/s 3.8-ENOB 52-mW flash ADC with clock duty cycle control in 65nm CMOS,A 7.5-GS/s 4.5-bit analog-to-digital converter (ADC) in 65nm CMOS is presented. A two-stage track-and-hold (TAH) with clock duty cycle control reduces bandwidth requirements on the slow TAH output to enable high sampling rates with low power consumption. The 7.5-GS/s flash ADC consumes 52-mW and occupies 0.01-mm2. Clock duty cycle control improves ENOB from 3.5 to 3.8 with an input sinusoid at the Nyquist frequency.,"Hayun Chung, Alexander Rylyakov, Zeynep Toprak Deniz, John Bulzacchelli, Gu-Yeon Wei, Daniel Friedman", , ,0.01,,3.84E+09,24.5,,,,33.4,24.5,5.20E-02,7.50E+09,1,7.67E+09,6.78E+00,,494.4,,133.2,6.45E-08,232.03
2009,26.3,NQ,VCO,0.065,A 1.5-GHz 63dB SNR 20mW direct RF sampling bandpass VCO-based ADC in 65nm CMOS,"This paper presents a bandpass ADC which exploits enhanced time-resolution of a deep submicron CMOS process. Unlike conventional bandpass ADCs that rely on voltage resolution and Gm-LC filters, the proposed ADC employs time-interleaved voltage-controlled oscillators that enable frequency tunable bandstop noise shaping property without a feedback loop. The ADC implemented in 65nm CMOS achieves SNR of 63.3dB for 1MHz signal located at 1.5GHz, while consuming 19.6mW from 1.2V supply.","Yoon, Young-Gyu ; Cho, SeongHwan ;","Data for 20MHz BW, power for SDC core only", ,0.7,,2.00E+07,39,48.3,,,42.5,39,8.60E-03,4.00E+09,100,4.00E+07,2.15E+02,,2952.9,,132.7,7.38E-05,208.69
2009,26.4,NQ,Pipe,0.065,A dual-channel 10b 80MS/s pipeline ADC with 0.16mm2 area in 65nm CMOS,"A dual-channel 10b 80MS/s low-power and area-efficient pipeline ADC is presented. Area and power savings are realized by merging the track and hold amplifier (THA) and the 1st-stage multiplying digital-to-analog converter (MDAC), double-sampling the 2nd-stage MDAC and using a 1b sub-range in 4b sub-ADC. It achieves an ENOB of 8.65b with 20.1-MHz input. Including on-chip reference buffers, power and area consumption are 11.2mW and 0.08mm2 per channel respectively.","Yu, Xinyu ; Lin, Fang ; Li, Kevin ; Ranganathan, Sumant ; Kwan, Tom ; ", , ,0.125,,4.00E+07,53.8,,,,70,53.8,1.12E-02,8.00E+07,1,8.00E+07,1.40E+02,,349.8,,149.3,4.37E-06,228.36
2010,15.2,OS,SDCT,0.09,A 2.8-to-8.5mW GSM/Bluetooth/UMTS/DVB-H/WLAN Fully Reconfigurable CT?? with 200kHz to 20MHz BW for 4G Radios in 90nm Digital CMOS,"A 0.4mm2 low-power fully-reconfigurable continuous-time (CT) feedforward delta sigma ADC for 4G radios is implemented in 90nm CMOS. By reconfiguring the topology architecture, quantizer bits, biasing current and component parameters, optimal power consumption can be achieved for every mode. The modulator achieves a DR of 85/78/76/72/58dB for GSM/BT/UMTS/DVB-H/WLAN with 2.8/2.6/3.6/4.9/8.5mW from 1V supply. The FOM is 0.68/0.5/0.28/0.27/0.41pJ/conv.","Y. Ke, P. Gao, J. Craninckx*, G. Van der Plas*, G. Gielen, K.U. Leuven, Belgium, *IMEC, Belgium",GSM mode, ,0.4,,2.00E+05,82,,85,,,82,2.80E-03,5.12E+07,128,4.00E+05,7.00E+03,,680.3,,160.5,1.70E-03,216.56
2010,15.2,OS,SDCT,0.09,A 2.8-to-8.5mW GSM/Bluetooth/UMTS/DVB-H/WLAN Fully Reconfigurable CT?? with 200kHz to 20MHz BW for 4G Radios in 90nm Digital CMOS,"A 0.4mm2 low-power fully-reconfigurable continuous-time (CT) feedforward delta sigma ADC for 4G radios is implemented in 90nm CMOS. By reconfiguring the topology architecture, quantizer bits, biasing current and component parameters, optimal power consumption can be achieved for every mode. The modulator achieves a DR of 85/78/76/72/58dB for GSM/BT/UMTS/DVB-H/WLAN with 2.8/2.6/3.6/4.9/8.5mW from 1V supply. The FOM is 0.68/0.5/0.28/0.27/0.41pJ/conv.","Y. Ke, P. Gao, J. Craninckx*, G. Van der Plas*, G. Gielen, K.U. Leuven, Belgium, *IMEC, Belgium",BT mode, ,0.4,,5.00E+05,76,,78,,,76,2.60E-03,9.60E+07,96,1.00E+06,2.60E+03,,504.2,,158.8,5.04E-04,218.84
2010,15.2,OS,SDCT,0.09,A 2.8-to-8.5mW GSM/Bluetooth/UMTS/DVB-H/WLAN Fully Reconfigurable CT?? with 200kHz to 20MHz BW for 4G Radios in 90nm Digital CMOS,"A 0.4mm2 low-power fully-reconfigurable continuous-time (CT) feedforward delta sigma ADC for 4G radios is implemented in 90nm CMOS. By reconfiguring the topology architecture, quantizer bits, biasing current and component parameters, optimal power consumption can be achieved for every mode. The modulator achieves a DR of 85/78/76/72/58dB for GSM/BT/UMTS/DVB-H/WLAN with 2.8/2.6/3.6/4.9/8.5mW from 1V supply. The FOM is 0.68/0.5/0.28/0.27/0.41pJ/conv.","Y. Ke, P. Gao, J. Craninckx*, G. Van der Plas*, G. Gielen, K.U. Leuven, Belgium, *IMEC, Belgium",UMTS mode, ,0.4,,2.00E+06,75,,75,,,75,3.60E-03,1.28E+08,32,4.00E+06,9.00E+02,,195.8,,162.4,4.90E-05,228.47
2010,15.2,OS,SDCT,0.09,A 2.8-to-8.5mW GSM/Bluetooth/UMTS/DVB-H/WLAN Fully Reconfigurable CT?? with 200kHz to 20MHz BW for 4G Radios in 90nm Digital CMOS,"A 0.4mm2 low-power fully-reconfigurable continuous-time (CT) feedforward delta sigma ADC for 4G radios is implemented in 90nm CMOS. By reconfiguring the topology architecture, quantizer bits, biasing current and component parameters, optimal power consumption can be achieved for every mode. The modulator achieves a DR of 85/78/76/72/58dB for GSM/BT/UMTS/DVB-H/WLAN with 2.8/2.6/3.6/4.9/8.5mW from 1V supply. The FOM is 0.68/0.5/0.28/0.27/0.41pJ/conv.","Y. Ke, P. Gao, J. Craninckx*, G. Van der Plas*, G. Gielen, K.U. Leuven, Belgium, *IMEC, Belgium",DVB-H mode, ,0.4,,4.00E+06,72,,72,,,72,4.90E-03,1.92E+08,24,8.00E+06,6.13E+02,,188.3,,161.1,2.35E-05,230.15
2010,15.2,OS,SDCT,0.09,A 2.8-to-8.5mW GSM/Bluetooth/UMTS/DVB-H/WLAN Fully Reconfigurable CT?? with 200kHz to 20MHz BW for 4G Radios in 90nm Digital CMOS,"A 0.4mm2 low-power fully-reconfigurable continuous-time (CT) feedforward delta sigma ADC for 4G radios is implemented in 90nm CMOS. By reconfiguring the topology architecture, quantizer bits, biasing current and component parameters, optimal power consumption can be achieved for every mode. The modulator achieves a DR of 85/78/76/72/58dB for GSM/BT/UMTS/DVB-H/WLAN with 2.8/2.6/3.6/4.9/8.5mW from 1V supply. The FOM is 0.68/0.5/0.28/0.27/0.41pJ/conv.","Y. Ke, P. Gao, J. Craninckx*, G. Van der Plas*, G. Gielen, K.U. Leuven, Belgium, *IMEC, Belgium",WLAN mode, ,0.4,,2.00E+07,58,,58,,,58,8.50E-03,6.40E+08,16,4.00E+07,2.13E+02,,327.4,,151.7,8.19E-06,227.74
2010,15.3,OS,VCO,0.065,A 0.02mm² 65nm CMOS 30MHz BW All-Digital Differential VCO-Based ADC with 64dB SNDR,"A 300MHz all-digital differential VCO-based ADC occupies 0.02mm² in 65nm CMOS, achieving a peak SFDR of 79dB and an SNDR of 64dB over a 30MHz BW. This high linearity is obtained using two VCOs in differential configuration in combination with an 11-points digital calibration. The power consumption is 11.4mW and the FOM is 150fJ/conv. step.","J. Daniels, W. Dehaene, M. Steyaert, Andreas Wiesbauer*, K.U. Leuven, Belgium, *Infineon Technologies, Austria",Differential mode, ,0.02,,3.00E+07,64,,,,79,64,1.14E-02,3.00E+08,5,6.00E+07,1.90E+02,,146.7,,158.2,2.45E-06,235.98
2010,15.4,NQ,"Flash, TI",0.065,A 12-GS/s 81-mW 5-Bit Time-Interleaved Flash ADC with Background Timing Skew Calibration,"A 12-GS/s 5-bit time-interleaved flash ADC is realized in 65-nm CMOS. The design utilizes a background timing skew calibration technique to improve dynamic performance, and comparator offset calibration to reduce power dissipation. The experimental prototype achieves an SNDR of 25.1 dB at Nyquist and 27.5 dB for low frequency inputs. The circuit occupies an active area of 0.44 mm2 and consumes 81 mW from a 1.1-V supply.","M. El-Chammas, B. Murmann, Stanford University, USA", ,1.1,0.44,27,8.00E+09,25.1,,,,,25.1,8.10E-02,1.20E+10,1,1.20E+10,6.75E+00,369.1,459.4,135.7,133.8,3.83E-08,234.59
2010,15.5,NQ,"Flash, TI",0.065,A CMOS 6-Bit 16-GS/s Time-Interleaved ADC with Digital Background Calibration,An 8-channel 6-bit 16-GS/s time-interleaved ADC was fabricated using a 65nm CMOS technology. Each A/D channel is a flash ADC using latch-type comparator with background offset calibration. Timing skews among the channels are also continuously calibrated in the background. The chip achieves 42.3dB SFDR and 30.8dB SNDR at 16 GS/s sampling rate.,"C.-C. Huang, C.-Y. Wang, J.-T. Wu, National Chiao Tung University, Taiwan", , ,1.4694,30.8,3.00E+09,28,,,,,28,4.35E-01,1.60E+10,1,1.60E+10,2.72E+01,959.9,1325.1,133.4,130.6,8.28E-08,232.69
2010,23.1,NQ,"Pipe, ZCBC",0.09,A Zero-Crossing Based 12b 100MS/s Pipelined ADC with Decision Boundary Gap Estimation Calibration,"This paper describes a 12-bit zero-crossing based pipeline 100-MS/s ADC. The prototype ADC, fabricated in a 90-nm CMOS process, occupies 0.32 mm2. The capacitor mismatch is calibrated by decision boundary gap estimate algorithm that runs in the background. It achieves an ENOB of 10.2 bits for a 49 MHz input signal and dissipates 6.2 mW from a 1.2V supply for a FOM of 53fJ/step.","J. Chu, L. Brooks*, H.-S. Lee, Massachusetts Institute of Technology, *Ubixum, Inc., USA", , ,0.32,,5.00E+07,63.2,,,,74,63.2,6.20E-03,1.00E+08,1,1.00E+08,6.20E+01,,52.7,,162.2,5.27E-07,242.23
2010,23.2,NQ,"Pipe, SAR",0.065,A 12b 50MS/s 3.5mW SAR Assisted 2-Stage Pipeline ADC,"A 12b 50MS/s ADC is presented that pipelines a first stage 6b MDAC with a second stage 7b SAR ADC. The first stage uses a low-power SAR architecture for the sub-ADC, to achieve the large 6b stage resolution. A “half-gain” MDAC reduces the output swing and increases the closed-loop bandwidth of the op-amp in the first stage. This ADC consumes 3.5mW power, achieves an ENOB of 10.4b at Nyquist, and an FOM of 52fJ/conversion-step.","C. Lee, M. Flynn, University of Michigan, USA", , ,0.16,,2.50E+07,64.4,,,,75,64.4,3.50E-03,5.00E+07,1,5.00E+07,7.00E+01,,51.8,,162.9,1.04E-06,239.9
2010,23.3,NQ,SAR,0.18,A 1V 11fJ/Conversion-Step 10bit 10MS/s Asynchronous SAR ADC in 0.18?m CMOS,"This paper presents a 10-bit SAR ADC using a variable window function to reduce the unnecessary switching in DAC network. At 10-MS/s and 1-V supply, the ADC consumes only 98?W and achieves an SNDR of 60.97 dB, resulting in an FOM of 11 fJ/Conversion-step. The prototype is fabricated in a 0.18?m CMOS technology.","C.-C. Liu, S.-J. Chang, G.-Y. Huang, Y.-Z. Lin, C.-M. Huang*, National Cheng Kung University, Taiwan, *Himax Technologies, Inc., Taiwan", , ,0.086,,5.00E+06,60.3,,,,69,60.3,9.80E-05,1.00E+07,1,1.00E+07,9.80E+00,,11.6,,167.4,1.16E-06,237.37
2010,23.4,NQ,SAR,0.09,A 9-bit 150-MS/s 1.53-mW Subranged SAR ADC in 90-nm CMOS,"This paper reports a subranged SAR ADC consisting of a 3.5-bit flash coarse ADC, a 6-bit SAR fine ADC, and a differential segmented capacitive DAC. The segmented DAC improves DNL during MSB transitions. The merged switching of MSB capacitors enhances operation speed. The 9-bit 150-MS/s ADC consumes 1.53 mW from a 1.2-V supply. The ENOB is 8.69 bit, the ERBW is 100 MHz, and the FOM is 24.7 fJ/conversion-step.","Y.-Z. Lin, C.-C. Liu, G.-Y. Huang, Y.-T. Shyu, S.-J. Chang, National Cheng Kung University, Taiwan",Data for VDD=1.2V, ,0.028,,7.50E+07,54.1,,,,71,54.1,1.53E-03,1.50E+08,1,1.50E+08,1.02E+01,,24.7,,161,1.65E-07,242.74
2011,4.1,OS,"SDSC, Pipe",0.18,A 12-ENOB 6X-OSR Noise-Shaped Pipelined ADC Utilizing a 9-bit Linear Front-End,"A noise-shaped pipelined ADC is presented in this paper. A minimal complexity Delta-Sigma modulator in the first two sub-ADCs and residue feedback in the latter stages lead to high-order noise shaping. This also leads to reduced sensitivity to analog imperfections in the front-end stage. Implemented in 0.18um CMOS, the ADC achieves 12~ENOB with 64MHz clock at 6XOSR.",O. Rajaee and U. Moon,Power includes digital, ,1.3,,5.33E+06,73.7,,,,94.5,73.7,1.39E-02,6.40E+07,6,1.07E+07,1.30E+03,,329.3,,159.5,3.09E-05,229.82
